stop_id,ticket_amount,ticket_status
117955,50,overdue
90257,45,50,paid
43970,60,50,overdue
115262,55,paid
195213,90,overdue
96227,46,overdue
161795,28,overdue
92217,50,challenged
139811,65,overdue
65431,65,50,overdue
176152,45,paid
78122,55,overdue
62020,33,overdue
169330,40,overdue
121549,35,overdue
89669,53,overdue
135262,50,overdue
67936,65,paid
128237,30,50,overdue
90096,50,pending
49976,40,overdue
79798,45,50,paid
161445,65,overdue
160087,75,paid
108535,70,pending
121967,40,overdue
186002,45,challenged
72898,55,50,overdue
188670,31,50,overdue
85499,45,overdue
150493,50,50,pending
61219,35,overdue
144554,31,overdue
133531,40,50,overdue
112378,65,paid
10840,39,50,overdue
178022,35,overdue
45515,30,50,overdue
178576,55,paid
43678,70,overdue
185956,50,50,pending
81093,55,overdue
151250,75,50,overdue
146376,55,50,overdue
77575,45,overdue
135584,75,pending
82886,30,paid
58745,85,paid
108216,55,overdue
171254,35,50,overdue
179343,35,50,overdue
65626,45,challenged
157484,70,pending
121318,65,overdue
36776,45,paid
190620,40,paid
179059,80,overdue
73841,50,overdue
41116,19,50,overdue
162222,55,paid
155892,20,paid
182685,52,overdue
60844,45,50,overdue
77404,50,paid
191917,85,overdue
113231,65,overdue
189069,29,overdue
186485,50,50,overdue
181077,40,overdue
148083,25,paid
58592,45,challenged
51346,32,overdue
6664,50,paid
47034,44,overdue
187274,45,overdue
194539,45,overdue
85766,45,paid
30709,35,overdue
64986,50,paid
94816,24,overdue
188996,35,paid
38007,50,overdue
144502,37,overdue
28505,25,overdue
84670,55,50,paid
191808,55,overdue
86914,55,overdue
163847,50,overdue
154127,50,overdue
184696,30,paid
140044,65,paid
85225,45,overdue
1814,40,overdue
149541,55,50,overdue
54971,38,50,overdue
159035,35,paid
98925,50,paid
55784,65,challenged
192482,45,paid
124339,40,challenged
110155,55,50,overdue
108385,55,paid
39929,70,paid
70364,70,paid
56526,50,overdue
200020,40,50,paid
171426,50,overdue
39767,50,overdue
63539,85,challenged
22877,70,paid
99854,50,50,overdue
99660,60,pending
44913,75,paid
114957,57,50,overdue
10141,60,overdue
43026,55,50,paid
184138,55,overdue
36709,15,50,overdue
152754,30,overdue
178748,50,50,overdue
18034,40,overdue
14810,55,50,pending
70511,45,challenged
71638,35,paid
109476,35,paid
144849,40,paid
37417,40,50,overdue
70187,40,paid
172403,40,paid
146994,26,50,overdue
171903,75,overdue
179503,28,overdue
65634,35,overdue
122895,29,overdue
147913,40,50,overdue
1835,65,paid
12945,50,paid
101971,40,paid
41705,35,50,paid
11677,25,challenged
45015,20,50,overdue
90299,20,paid
34599,60,50,challenged
158986,20,overdue
6381,80,overdue
65025,35,paid
34773,45,paid
114222,80,challenged
129743,60,50,challenged
75548,40,overdue
167014,35,overdue
124819,25,paid
125503,40,overdue
323,50,50,overdue
187042,45,overdue
140033,60,50,paid
1862,54,overdue
1390,50,50,paid
114598,45,50,challenged
161697,42,overdue
8511,40,pending
3391,35,50,paid
101356,31,overdue
31338,33,overdue
100767,64,50,overdue
93630,25,overdue
172119,40,overdue
153834,35,challenged
41645,39,overdue
146168,35,challenged
9696,40,50,overdue
38097,55,overdue
10544,35,overdue
30512,60,50,overdue
87254,30,50,overdue
73024,65,overdue
82030,39,overdue
134287,30,overdue
157160,65,paid
7113,70,challenged
55433,55,overdue
47747,85,50,overdue
125020,45,paid
122169,61,overdue
139909,45,paid
150254,45,50,overdue
58456,40,50,overdue
200394,25,paid
83376,30,overdue
144890,115,50,overdue
20329,30,overdue
78927,50,50,overdue
47056,40,paid
22666,36,overdue
199715,75,50,challenged
168515,45,paid
66401,105,pending
177034,35,50,overdue
183573,55,paid
139232,34,overdue
95305,65,overdue
18478,40,overdue
124927,65,paid
106454,65,paid
200659,55,overdue
91496,60,overdue
87754,20,50,paid
162162,54,overdue
70433,40,paid
64585,41,overdue
5080,45,overdue
133449,35,overdue
106477,60,50,overdue
192138,26,overdue
82656,39,overdue
163050,60,50,challenged
61018,50,paid
128754,55,overdue
33493,25,overdue
188775,30,overdue
122528,29,50,overdue
62656,90,paid
72389,40,overdue
82176,50,overdue
113335,45,paid
136602,39,50,overdue
30846,27,50,overdue
93984,70,paid
174920,70,50,paid
69937,65,paid
101154,35,paid
33473,36,overdue
42293,30,paid
143083,20,50,overdue
19816,45,50,overdue
2294,70,50,overdue
54703,60,50,paid
10602,70,paid
2532,55,50,overdue
195233,40,paid
3472,60,50,pending
81870,60,50,paid
174621,51,overdue
138270,35,overdue
8865,60,50,overdue
84961,35,overdue
196258,35,paid
28976,20,paid
164648,45,overdue
92457,45,50,overdue
128159,25,50,overdue
121836,30,paid
151757,35,overdue
179445,25,overdue
113784,50,challenged
98556,35,challenged
144560,31,overdue
122542,55,overdue
109143,45,overdue
200010,60,paid
92516,70,overdue
101450,35,overdue
181928,65,paid
192654,35,overdue
149938,85,challenged
134414,32,overdue
145148,34,overdue
140697,95,paid
178254,30,paid
197960,50,paid
113041,65,paid
1667,35,overdue
171616,35,overdue
100884,40,overdue
2932,35,50,paid
46137,41,overdue
113596,50,overdue
123062,60,paid
182142,40,overdue
159835,50,paid
35639,50,paid
30735,45,paid
6777,22,overdue
139973,19,overdue
140711,65,overdue
91068,35,50,paid
107010,50,paid
109461,40,paid
40446,65,overdue
157345,41,overdue
26873,40,50,paid
167138,35,paid
136735,19,50,overdue
143027,25,overdue
163522,30,50,overdue
22291,40,paid
26015,50,50,challenged
126135,35,overdue
128612,45,50,overdue
30741,25,overdue
181731,55,50,overdue
83342,60,50,paid
88377,45,overdue
127597,70,50,overdue
90238,30,paid
61695,70,paid
40229,40,overdue
79091,60,overdue
33250,45,overdue
182849,45,overdue
56024,55,50,paid
74142,60,50,paid
68467,43,overdue
13996,40,challenged
140228,50,overdue
127769,60,paid
181858,40,50,overdue
150464,20,paid
144528,50,50,challenged
100369,70,overdue
158902,50,paid
170674,21,overdue
166277,75,50,paid
192429,31,overdue
123235,19,overdue
173146,40,overdue
148142,65,paid
50425,65,overdue
8777,41,overdue
142275,40,50,paid
157238,60,pending
146167,50,overdue
153076,28,overdue
181602,25,overdue
42337,20,50,overdue
89855,18,overdue
200109,60,overdue
196859,30,50,paid
128584,35,paid
195266,35,overdue
4929,45,50,pending
13049,40,paid
97836,40,paid
32285,50,50,overdue
170399,45,paid
156645,52,50,overdue
68122,12,50,overdue
130516,45,50,overdue
50031,110,50,paid
164024,55,50,challenged
74629,65,challenged
104932,30,overdue
30524,60,overdue
29185,35,overdue
137977,55,paid
44197,50,50,paid
146596,55,paid
178529,70,overdue
77973,80,challenged
88302,100,paid
175888,25,overdue
55808,70,50,paid
5894,30,overdue
15743,45,pending
167539,50,50,paid
29616,50,overdue
9796,42,overdue
44870,50,overdue
163589,24,overdue
137218,45,50,pending
184189,50,overdue
46537,29,overdue
100836,85,overdue
152622,55,50,overdue
10450,30,50,overdue
176834,80,challenged
99437,60,overdue
5644,35,overdue
136557,45,overdue
162329,40,challenged
150023,30,paid
186984,21,overdue
166444,30,challenged
156465,55,50,paid
81859,50,overdue
13636,50,challenged
182004,20,overdue
145101,75,pending
107038,80,50,paid
123363,35,overdue
155687,45,paid
81381,45,paid
4040,20,overdue
157690,35,overdue
63329,50,50,overdue
160181,55,overdue
150678,25,overdue
152999,28,overdue
73712,31,overdue
142493,55,overdue
114838,45,50,paid
75777,45,paid
179628,35,paid
10096,85,50,overdue
186340,47,overdue
68630,30,challenged
40716,44,50,overdue
195453,40,50,overdue
149572,60,overdue
103869,75,overdue
19685,40,paid
168274,90,50,paid
3745,40,overdue
68154,45,paid
125720,100,overdue
102094,45,50,paid
59964,16,overdue
158643,41,overdue
120644,21,overdue
9157,60,overdue
6342,70,overdue
10388,25,overdue
45395,45,overdue
74743,65,overdue
5850,35,paid
157478,40,paid
126151,55,50,paid
16154,75,overdue
123633,47,50,overdue
37885,25,pending
74245,45,50,overdue
143905,65,overdue
111255,75,50,paid
167149,45,overdue
185941,35,overdue
23427,40,overdue
6121,35,overdue
6991,45,50,overdue
176764,55,paid
29070,65,overdue
553,55,50,paid
110110,50,50,overdue
175205,40,50,overdue
154551,45,overdue
130845,80,paid
76003,45,paid
119008,20,paid
121936,45,overdue
21177,26,overdue
170534,55,50,paid
142159,25,paid
18085,40,overdue
170623,75,50,overdue
143820,40,overdue
51497,75,overdue
178315,45,50,overdue
45430,50,paid
90095,75,50,paid
6156,45,50,pending
131563,55,paid
113712,22,overdue
36461,27,overdue
104769,50,50,paid
100228,80,paid
58781,30,50,pending
29551,27,overdue
100715,50,overdue
138910,45,overdue
5493,50,overdue
165351,60,paid
19355,60,50,overdue
106670,55,challenged
197829,20,50,paid
77934,40,50,overdue
173431,35,paid
189356,70,overdue
121329,45,overdue
178959,35,50,overdue
125094,60,overdue
17645,50,paid
37227,70,challenged
9576,40,50,paid
171730,55,challenged
99901,55,overdue
92804,35,50,paid
26712,26,50,overdue
125654,51,overdue
170284,60,50,challenged
177402,50,50,paid
81713,50,challenged
194931,33,overdue
36175,60,paid
58152,40,paid
57623,21,50,overdue
48874,50,50,paid
13607,60,paid
45061,35,50,overdue
142190,40,overdue
177475,80,paid
193,18,overdue
179817,20,50,overdue
131572,55,paid
16144,30,overdue
58677,36,50,overdue
90384,41,overdue
112277,45,overdue
157275,40,50,paid
138844,55,paid
122239,50,challenged
191038,40,pending
38241,70,50,challenged
88585,32,overdue
97277,25,50,challenged
101115,45,pending
71636,45,pending
87021,60,pending
111886,45,paid
85858,45,overdue
35712,40,overdue
97655,55,overdue
150820,70,50,overdue
177589,20,challenged
84867,41,50,overdue
11772,40,pending
79868,30,challenged
8005,55,overdue
199513,30,overdue
94301,35,50,overdue
139466,35,50,overdue
51699,75,50,overdue
90348,34,overdue
128828,45,overdue
20168,45,paid
67456,41,overdue
171617,25,overdue
155620,65,50,overdue
119939,50,overdue
28252,40,overdue
17689,28,overdue
172741,70,paid
63426,60,paid
103045,55,challenged
17935,55,50,overdue
117905,40,50,paid
136693,29,overdue
120028,35,overdue
11103,45,pending
174732,75,paid
54744,60,overdue
64741,35,overdue
71223,45,50,paid
86906,35,overdue
20672,60,overdue
165262,65,paid
182546,30,challenged
77384,36,overdue
145697,20,pending
161260,34,50,overdue
61777,55,overdue
164313,45,pending
24471,60,50,challenged
127889,50,overdue
26682,30,50,pending
35907,60,overdue
112353,45,overdue
36563,26,overdue
46763,30,paid
197583,35,paid
145272,45,overdue
56019,31,overdue
86723,21,overdue
61247,50,overdue
17208,50,overdue
147402,55,50,paid
70273,50,paid
152885,55,overdue
173233,37,overdue
41885,30,paid
183513,80,overdue
77595,56,overdue
95525,35,paid
8061,65,paid
176033,60,pending
75407,45,paid
16776,27,50,overdue
168268,15,overdue
79445,40,overdue
32271,70,paid
81166,52,overdue
188404,45,overdue
43345,27,50,overdue
46406,31,overdue
160776,60,overdue
41814,75,50,paid
7388,40,overdue
167798,45,challenged
113034,60,paid
158425,25,overdue
173164,45,paid
146375,35,50,overdue
82944,39,overdue
40159,25,50,pending
153873,95,paid
45240,60,overdue
162763,55,paid
89242,27,overdue
43080,30,pending
80312,45,paid
179144,65,overdue
71242,40,50,overdue
4002,30,overdue
86822,45,50,overdue
194385,45,overdue
81549,50,overdue
147805,40,50,paid
134495,70,overdue
109134,36,overdue
194734,24,overdue
68698,35,50,paid
113202,25,paid
78034,50,50,paid
76981,50,paid
33786,50,overdue
85437,35,overdue
70650,70,pending
44911,40,paid
43954,70,paid
42428,32,overdue
104162,31,overdue
119622,45,paid
60752,45,paid
69061,50,overdue
163084,55,challenged
188367,40,overdue
9731,55,overdue
122096,35,paid
27608,45,50,paid
188550,18,50,overdue
87451,65,paid
190557,35,overdue
33798,25,paid
40741,45,overdue
151802,65,overdue
169236,35,overdue
29682,75,challenged
48678,45,challenged
47405,30,pending
169542,30,paid
99068,55,paid
11466,28,overdue
77711,35,paid
7866,80,overdue
61258,34,50,overdue
4518,80,50,overdue
61285,55,paid
131867,45,overdue
56495,40,overdue
85730,35,50,overdue
91731,70,50,overdue
90221,60,50,overdue
78835,55,paid
40031,26,overdue
76721,70,overdue
21973,35,50,paid
110657,55,overdue
48410,23,overdue
122399,70,overdue
16439,27,overdue
70729,80,challenged
99880,55,overdue
124550,65,paid
167436,39,overdue
74833,65,50,overdue
119911,50,overdue
181875,35,50,overdue
108541,40,50,overdue
14774,45,50,overdue
85684,35,paid
94777,80,overdue
92342,45,50,overdue
39994,34,overdue
181249,85,paid
149731,110,paid
85316,35,overdue
131115,30,50,overdue
5273,50,challenged
14449,30,overdue
191646,55,50,paid
174016,45,paid
104472,35,overdue
160727,40,overdue
105502,55,overdue
58366,50,50,overdue
148957,50,paid
79415,45,paid
113037,40,50,paid
61560,45,overdue
177415,27,50,overdue
52378,85,50,paid
190898,65,50,overdue
171561,30,overdue
180361,35,overdue
87161,45,50,overdue
157451,40,50,overdue
76040,25,paid
185495,30,50,overdue
200618,45,paid
140818,40,overdue
101072,45,overdue
130553,55,challenged
21101,25,paid
62186,45,paid
51092,45,overdue
49447,75,paid
9608,60,50,overdue
108062,50,50,overdue
74174,30,overdue
136822,45,overdue
123077,50,overdue
194741,37,overdue
183260,45,overdue
17594,30,overdue
133636,45,paid
46892,60,paid
127508,18,50,overdue
189700,40,paid
199132,45,paid
63884,29,overdue
68211,60,overdue
186513,40,50,paid
44004,45,pending
105091,40,50,challenged
48810,60,challenged
200269,80,paid
59742,38,overdue
81769,45,paid
186815,70,overdue
47916,45,50,overdue
58924,55,paid
152644,55,overdue
141698,21,overdue
52427,50,overdue
131118,45,paid
23067,80,overdue
121694,95,overdue
150657,45,overdue
20826,50,paid
190132,35,overdue
96044,30,overdue
174637,55,overdue
104425,32,overdue
15757,55,50,overdue
200374,40,overdue
51691,65,overdue
178211,55,overdue
66932,25,overdue
15915,70,overdue
99620,45,overdue
19936,45,overdue
162521,25,overdue
169281,50,overdue
100212,34,overdue
121930,18,overdue
44797,70,overdue
64224,41,50,overdue
140554,60,overdue
78411,65,paid
88915,45,overdue
65362,55,overdue
166147,25,paid
157576,45,pending
73453,35,overdue
42694,30,overdue
141314,40,50,challenged
37991,45,overdue
156015,30,pending
22391,60,challenged
151261,55,pending
70204,45,paid
108843,60,50,overdue
69242,25,overdue
14907,28,50,overdue
76821,37,50,overdue
123868,55,paid
152527,40,overdue
65192,35,overdue
65684,55,challenged
19565,25,overdue
58761,45,50,overdue
144175,95,50,paid
175505,40,50,paid
74865,40,overdue
19166,55,50,pending
129701,31,overdue
162215,60,50,overdue
7503,35,50,overdue
171354,70,paid
21115,35,overdue
82795,40,challenged
92519,80,paid
53532,33,50,overdue
160446,75,paid
180684,70,overdue
110716,25,overdue
177109,45,overdue
100980,45,pending
43020,40,50,overdue
179032,30,overdue
26127,50,overdue
13687,28,overdue
45439,60,overdue
100109,70,overdue
64416,75,overdue
158621,50,50,challenged
107239,35,50,paid
200022,60,paid
52478,45,50,paid
168983,35,50,overdue
74429,40,overdue
80216,55,paid
107586,85,pending
179377,40,50,pending
162644,75,50,overdue
6643,40,50,paid
106364,40,50,overdue
78736,55,50,pending
28520,27,overdue
97892,50,paid
176590,38,50,overdue
168204,22,overdue
199560,42,overdue
44884,50,overdue
109584,45,paid
176922,40,paid
34346,95,challenged
77248,55,50,paid
105300,47,overdue
67626,50,overdue
33234,75,overdue
54153,40,50,paid
152547,50,pending
106730,70,50,paid
145029,55,paid
65143,41,overdue
113834,35,overdue
57588,65,pending
27186,65,challenged
111078,65,50,challenged
192553,45,50,overdue
32530,52,overdue
185985,35,50,overdue
200901,32,overdue
112758,11,overdue
6871,65,overdue
100289,50,pending
89432,45,50,overdue
82323,70,50,overdue
1088,65,overdue
27055,75,50,challenged
164867,40,50,overdue
46450,45,paid
89836,60,50,overdue
26370,60,paid
188939,45,paid
98750,50,50,overdue
71682,55,50,overdue
56708,40,overdue
78598,34,overdue
62165,55,overdue
51644,50,challenged
122679,70,overdue
112699,65,50,paid
157568,30,50,overdue
148535,55,50,challenged
34167,65,pending
86536,20,overdue
77634,50,50,paid
35492,27,50,overdue
147303,65,50,overdue
48573,17,overdue
132777,35,50,paid
167564,60,paid
48781,55,50,paid
38871,110,overdue
100788,50,overdue
161970,35,50,paid
46907,60,overdue
129005,33,50,overdue
13015,45,paid
192301,42,overdue
57850,50,paid
16016,45,50,overdue
135053,55,overdue
179757,39,50,overdue
165818,35,overdue
33692,60,50,overdue
31971,45,50,challenged
164678,45,50,paid
101217,60,paid
100646,35,50,overdue
27913,40,50,challenged
71706,25,challenged
145745,140,paid
49597,55,challenged
89331,50,overdue
141541,23,50,overdue
88705,53,overdue
55922,38,overdue
3967,30,paid
7439,50,paid
122804,45,paid
144164,35,challenged
195063,50,paid
112869,30,50,overdue
173214,45,challenged
29317,55,overdue
196751,25,50,overdue
32522,55,paid
131465,55,overdue
195617,80,overdue
96029,30,paid
27915,40,paid
146000,35,50,paid
27343,45,overdue
83304,45,50,overdue
30458,50,overdue
198706,75,50,paid
72168,35,challenged
89801,74,overdue
19750,25,paid
159135,35,overdue
6315,39,overdue
61587,65,50,overdue
159767,60,paid
10237,35,overdue
57066,50,overdue
54941,54,overdue
190516,50,paid
90347,40,paid
150965,20,paid
42937,30,paid
3631,30,overdue
96894,43,50,overdue
90375,60,paid
60109,40,paid
37128,50,challenged
186533,40,challenged
101975,55,challenged
165055,60,overdue
37137,45,overdue
160521,50,50,paid
32514,45,overdue
42648,60,overdue
70341,40,50,overdue
5433,65,overdue
71860,31,overdue
176351,50,paid
159446,50,overdue
144530,40,paid
154130,50,paid
77615,30,paid
44251,50,challenged
47111,55,50,overdue
74943,30,paid
142181,55,overdue
141036,35,challenged
114707,55,pending
67641,35,overdue
117650,25,paid
97098,30,overdue
168413,50,paid
170563,45,pending
129943,50,overdue
79963,75,overdue
118259,27,50,overdue
77713,30,overdue
77445,46,overdue
118930,35,overdue
110495,50,50,overdue
193205,50,50,paid
89992,60,overdue
9348,50,paid
29793,45,50,paid
140174,25,overdue
128360,60,pending
162323,60,50,paid
19461,45,overdue
95675,30,paid
51303,50,challenged
173157,40,challenged
38545,36,50,overdue
97697,35,overdue
86979,50,challenged
66605,50,50,overdue
196678,25,pending
107195,50,overdue
111974,65,paid
31240,60,overdue
192926,24,overdue
142505,55,paid
62790,25,overdue
129760,40,paid
73063,50,paid
96199,45,paid
156301,80,overdue
64726,40,paid
82831,35,50,overdue
71842,16,overdue
35688,40,paid
167876,39,50,overdue
66037,80,overdue
90896,90,overdue
86473,55,challenged
33377,45,paid
108370,17,overdue
29960,55,overdue
18195,55,paid
58883,45,paid
74272,25,50,overdue
150579,50,challenged
83282,65,50,overdue
189873,49,overdue
67150,50,paid
143860,60,paid
139699,23,overdue
116375,50,overdue
185234,55,overdue
52106,60,paid
176859,60,overdue
16997,70,challenged
194538,25,50,overdue
101442,45,paid
67777,26,overdue
122568,35,overdue
54150,80,overdue
193817,105,overdue
131030,35,overdue
94634,65,paid
48943,42,overdue
12670,36,overdue
97187,55,50,overdue
161570,30,paid
38663,55,challenged
23872,30,overdue
112981,45,overdue
96043,60,overdue
48053,55,overdue
87662,16,overdue
67265,60,paid
60525,43,overdue
102730,45,50,paid
20272,30,overdue
41036,90,paid
56380,34,overdue
184129,45,50,overdue
48130,35,50,challenged
97555,60,50,overdue
124274,25,overdue
108577,50,overdue
201272,55,paid
85551,40,paid
104639,50,paid
14267,65,50,paid
98031,35,paid
21257,37,overdue
86283,40,50,overdue
153356,35,pending
114919,40,paid
197504,75,paid
141415,21,overdue
192184,40,paid
86173,50,50,pending
194599,35,50,paid
44757,60,50,paid
3826,35,paid
107298,55,paid
121640,60,paid
196969,60,challenged
149946,35,paid
85264,40,paid
89276,30,overdue
201760,30,50,overdue
49746,18,overdue
82140,35,50,paid
12096,45,challenged
155098,35,paid
11822,35,paid
107531,55,50,paid
181595,65,overdue
197994,35,overdue
98219,50,challenged
33658,35,paid
141683,30,paid
